id_empresa,nome_empresa
114,OEC Serviços de Exportação
18160,OESA
24455,Ofta Vision Health
114,Olex
24658,Oniz Distribuidora
2083,Orbid
24886,Orígeo
24403,Original
21969,Original Veículos
17119,Osklen
18218,Ourolac
5322,Oxford Comércio e Participações
24698,Oxxo
5373,Padovas Participações
17422,Paes Mendonça
5734,Pague Menos
110,Pampeiro
6485,Panvel
6485,Panvel Farmácias
454,Papelaria Estrela
9197,Paraguassu Veículos
502,Passopar
6047,Pauta Distribuição
6047,Pauta Distribuidora
14325,Pearson
2226,Peixoto - Atacado Distribuidor
2226,Peixoto Atacado Distribuidor
1626,Pemaza Amazônia
575,Pemaza Centro Norte
1626,Pemaza Peças e Pneus
507,Pensalab
22087,Pérola Distribuição e Logística
5101,Pertos
5802,Pesa
23668,Pet 2 Pet
10309,Pet Center Comércio e Participações
14366,Petronac Combustíveis
14501,Petsupermarket
10309,Petz
14311,Piramidal
575,PMZ Centro Norte
1626,PMZ Distribuidora
2214,Pneumar
24485,Pneustore
9219,Ponteland
6486,Portuense
18222,Premier Veículos
22850,Privalia Brasil
8456,Pro Shows Comércio de Eletro Eletrônicos
6782,Prodiet Farmacêutica
2986,Profarma
6782,Profarma Specialty
8456,ProShows
22050,Puig Brasil Comercializadora de Perfumes
22096,Quero-Quero
138,Quimetal
17080,"R&D Comércio, Importação, Exportação e Indústria de Materiais Elétricos"
2575,Raia Drogasil
2575,RaiaDrogasil
14351,Rassini - NHK Automotive
18457,Razão Distribuidora de Produtos Alimentícios
9476,RBG Produtos Therapeúticos
9476,RBG Therapeutic World
19161,RBX Rio Comércio de Roupas
2575,RD Saúde
1302,RDG Aços do Brasil
24866,Real Máquinas
1528,Recapagem e Pneus Santa Helena
22364,Rech Agrícola
10823,Rech Tratores
8305,Recreio B.H.
8305,Recreio B.H. Veículos
24783,Recreio Motos
7505,Recreio Veículos
3049,Rede Âncora
803,Rede Âncora - RS
3049,"Rede Âncora - SP Importadora, Exportadora e Distribuidora de Auto Peças"
2598,Rede Âncora-SC
18652,Refrigelo Climatização de Ambientes
2389,Renner
8340,Ri Happy
3732,Riachuelo
2088,Ribeirão Diesel
88,Ricoh Brasil
1884,Rio - Bahia Veículos
1894,Rio Diesel
2258,Rivesa
6839,RM - Rede Moura Participações
14351,RNA
2459,Rochester
4080,Rodobens
1189,Rodobens Caminhões Cirasa
1884,Rodobens Veículos Comerciais
1884,Rodobens Veículos Comerciais Bahia
1189,Rodobens Veículos Comerciais Cirasa
1495,Rodobens Veículos Comerciais SP
16534,RodOil
1031,Rodomac Tratores Peças e Implementos
7775,Rohr
7775,Rohr Indústria e Comércio
14446,Rozac Comércio Importação e Exportação de Produtos Têxteis
13630,RTS Rio
18129,Rural Brasil
8569,RV Tecnologia e Sistemas
1495,Sadive Distribuidora de Veículos
24991,Safepill Home Care
24584,Safras Agroindústria
9162,Saga Brasil Administração e Participações
4121,Sajuthá
4121,Sajuthá-Rio Participações
2232,Salinor
24894,San Marino Veículos
24757,Sander Rede de Postos
24791,Santa Lúcia Distribuidora de Combustíveis
3776,Santa Vitória Empreendimentos e Participações
17838,Santo Antônio do Bonsucesso Participações Societárias
7100,São Eutiquiano Participações
24468,São Salvador Alimentos Participações
4214,Saraiva
18149,Saraiva Educação
24801,Savana Veículos - Mercedes
17466,Savegnago Participações e Negócios
1751,Savixx
1751,Savixx Trading
22763,SBF Comércio de Produtos Esportivos
90,Schadeck
1466,Scherer
19154,Semantix
951,Sendas
7794,Sendas Distribuidora
3214,Serglobal
3214,Sertrading
55,Servopa
350,SG Comércio Exterior
9209,SGA Niterói Veículos e Peças
9209,SGA Veículos e Peças
3501,Siciliano
8865,Siderúrgica Latino Americana
5070,Simex
5070,Simex Siqueira Importação e Exportação
1518,Simpala
1518,Simpala Veículos
3463,Sinoscar
4204,Sinosserra
2788,Slaviero Veículos
5077,SLC Participações
13465,SMC - Comercial e Exportadora de Café
6682,SND
6682,SND Soluções em Tecnologia
1273,SOCIC
622,Sojitz
23892,Solar Bebidas
11320,Solaris
19310,Solfarma
19310,Solfarma Comércio de Produtos Farmacêuticos
18705,Solo Network Brasil
19161,Soma
658,Somaco
1431,Somov
7323,Sonda
7323,Sonda Supermercados
5686,Sotreq
1454,South Service
21285,SP Japan
7953,Sperandio
5839,Sponchiado Consórcios
16479,SS Comércio de Cosméticos e Produtos de Higiene Pessoal
2033,Stéfani Comercial
3486,Stemac
19541,Stepan Química
1252,Suécia Veículos
912,Sumitomo Corporation do Brasil
17324,Super Atacado
7127,Super Mercado Zonal Sul
24690,Super Muffato
9296,Superbac Biotechnology Solutions
9231,Superdelli
17613,Supermercado Bahamas
2224,Supermercado Guanabara
24123,Supermercados ABC
24693,Supermercados Angeloni
2933,Supermercados Apolo
2237,Supermercados Archer
9062,Supermercados Cidade Canção
6393,Supermercados Irmão Lopes
7356,Supermercados Mundial
17422,Supermercados Paes Mendonça
19002,Supervarejista
23351,Supricorp Suprimentos
23622,Suprimed Participações
7961,Swell Importação e Comércio de Produtos de Iluminação
13041,Synagro
13041,Synagro Comercial Agrícola
9821,Tai Motors
541,Taisa
6046,Tambasa Atacadistas
3606,Tangará
5836,Tapajós Participações
1323,Target
1323,Target Trading
4834,Tecnomotor
4834,Tecnomotor Distribuidora
3470,Tellerina Comércio de Presentes e Artigo para Decoração
3470,Tellerina Comércio de Presentes e Artigo para Decoração S.A.
19883,Tenda Atacado
5958,Tereos Internacional
5472,Terramar Investimentos
17540,Terranuts
17119,Terras de Aventura Indústria de Artigos Esportivos
21415,Terraverde Holding
23081,Timbro Comércio Exterior
23081,Timbro Trading
23095,Tiscoski Distribuidora Comercial
17137,Todimo
7841,Tok & Stok
