id_empresa,id_conta,data_fechamento,valor
454,57,2020-12-31,6426801
454,103,2020-12-31,5308927
454,178,2020-12-31,14328279
454,230,2020-12-31,409606
454,286,2020-12-31,32933479
454,332,2020-12-31,77272900
454,333,2020-12-31,-57369611
454,335,2020-12-31,-14005376
454,347,2020-12-31,5897913
454,375,2020-12-31,3957346
454,421,2020-12-31,7382911
454,462,2020-12-31,-982665
454,473,2020-12-31,-2921997
10330,55,2023-12-31,1311747000
10330,56,2023-12-31,908901000
10330,103,2023-12-31,402846000
10330,178,2023-12-31,241184000
10330,230,2023-12-31,433495000
10330,286,2023-12-31,637068000
10330,332,2023-12-31,1378938000
10330,333,2023-12-31,-999493000
10330,335,2023-12-31,-258416000
10330,347,2023-12-31,121029000
10330,375,2023-12-31,108731000
10330,55,2022-12-31,1242752000
10330,56,2022-12-31,837219000
10330,103,2022-12-31,405533000
10330,178,2022-12-31,217936000
10330,230,2022-12-31,390999000
10330,286,2022-12-31,633817000
10330,332,2022-12-31,1382213000
10330,333,2022-12-31,-971655000
10330,335,2022-12-31,-272554000
10330,347,2022-12-31,138004000
10330,375,2022-12-31,135748000
10330,55,2021-12-31,1202665000
10330,56,2021-12-31,792622000
10330,103,2021-12-31,410043000
10330,178,2021-12-31,231979000
10330,230,2021-12-31,443736000
10330,286,2021-12-31,526950000
10330,332,2021-12-31,1132173000
10330,333,2021-12-31,-793640000
10330,335,2021-12-31,-201904000
10330,347,2021-12-31,136629000
10330,375,2021-12-31,124822000
10330,55,2020-12-31,1074729000
10330,56,2020-12-31,717376000
10330,103,2020-12-31,357353000
10330,178,2020-12-31,229263000
10330,230,2020-12-31,354905000
10330,286,2020-12-31,490561000
10330,332,2020-12-31,759652000
10330,333,2020-12-31,-568805000
10330,335,2020-12-31,-99698000
10330,347,2020-12-31,91149000
10330,375,2020-12-31,83441000
14705,55,2023-12-31,292937000
14705,56,2023-12-31,137002000
14705,57,2023-12-31,19967000
14705,103,2023-12-31,155935000
14705,178,2023-12-31,184964000
14705,230,2023-12-31,32020000
14705,286,2023-12-31,75953000
14705,332,2023-12-31,199766000
14705,333,2023-12-31,-137062000
14705,335,2023-12-31,-68105000
14705,347,2023-12-31,-5401000
14705,375,2023-12-31,-38192000
14705,421,2023-12-31,-15195000
14705,462,2023-12-31,-9671000
14705,473,2023-12-31,21108000
14705,55,2022-12-31,289522000
14705,56,2022-12-31,133370000
14705,57,2022-12-31,23725000
14705,103,2022-12-31,156152000
14705,178,2022-12-31,131482000
14705,230,2022-12-31,105555000
14705,286,2022-12-31,52485000
14705,332,2022-12-31,222725000
14705,333,2022-12-31,-142117000
14705,335,2022-12-31,-66443000
14705,347,2022-12-31,14165000
14705,375,2022-12-31,-354000
14705,421,2022-12-31,-7611000
14705,462,2022-12-31,-2933000
14705,473,2022-12-31,16786000
14705,55,2021-12-31,260229000
14705,56,2021-12-31,127349000
14705,57,2021-12-31,17485000
14705,103,2021-12-31,132880000
14705,178,2021-12-31,99932000
14705,230,2021-12-31,99500000
14705,286,2021-12-31,60797000
14705,332,2021-12-31,187537000
14705,333,2021-12-31,-122540000
14705,335,2021-12-31,-65258000
14705,347,2021-12-31,-261000
14705,375,2021-12-31,-15500000
14705,421,2021-12-31,-26925000
14705,462,2021-12-31,-2117000
14705,473,2021-12-31,11619000
14705,55,2020-12-31,249831000
14705,56,2020-12-31,115848000
14705,57,2020-12-31,34908000
14705,103,2020-12-31,133983000
14705,178,2020-12-31,132972000
14705,230,2020-12-31,154331000
14705,286,2020-12-31,-37472000
14705,332,2020-12-31,166719000
14705,333,2020-12-31,-102871000
14705,335,2020-12-31,-63278000
14705,347,2020-12-31,570000
14705,375,2020-12-31,-19985000
14705,421,2020-12-31,871000
14705,462,2020-12-31,-6223000
14705,473,2020-12-31,33475000
20837,55,2023-12-31,89834079
20837,56,2023-12-31,73936054
20837,57,2023-12-31,1248533
